"fecha";"Run Fondo";"nombre_fondo";"nemotecnico_inst";"run_emisor";"digito_verifi_emisor";"cod_pais_emisor";"tipo_instrumento";"fecha_vencimiento";"situacion_instrumento";"clasificacion_riesgo";"cod_grupo_empresa";"cant_unidades";"tipo_unidades";"tir";"valor_par";"valor_relevante";"codigo_valorizacion";"base_tasa";"tipo_interes";"valorizacion_cierre";"cod_moneda_liquid";"cod_pais_transaccion";"prctj_capital_emisor";"prctj_activo_emisor";"prctj_acitvo_fondo";"prctj_activo_fondo"
2023-01-31;"8172";CA DEFENSIVA DÓLAR;CFMLVMONEL;"8606";"1";CL;CFM;;"1";AA;"0000";1620000;PROM;;;1.05;"3";0;NA;1701;PROM;CL;0.638;0;;3915
2023-01-31;"8172";CA DEFENSIVA DÓLAR;CFI-LVDAIE;"9703";"9";CL;CFI;;"1";NA;"0000";280283;PROM;;;0.72;"3";0;NA;202;PROM;CL;0.54;0;;465
2023-01-31;"8172";CA DEFENSIVA DÓLAR;CFILVMXI-E;"9639";"3";CL;CFI;;"1";NA;"0000";475207;$$;;;1.23;"3";0;NA;585;$$;CL;1.113;0;;1346
2023-01-31;"8172";CA DEFENSIVA DÓLAR;CFI-LVEMDL;"9963";"5";CL;CFI;;"1";NA;"0000";20545;PROM;;;82.26;"3";0;NA;1690;PROM;CL;10.631;0;;3889
2023-01-31;"8172";CA DEFENSIVA DÓLAR;CFI-LVRULE;"10051";K;CL;CFI;;"1";NA;"0000";88149;PROM;;;10.74;"3";0;NA;947;PROM;CL;3.589;0;;2179
2023-01-31;"8172";CA DEFENSIVA DÓLAR;CFI-PRALLE;"10318";"7";CL;CFI;;"1";NA;"0000";90000;PROM;;;10.04;"3";0;NA;904;PROM;CL;6.365;0;;2081
2023-01-31;"8172";CA DEFENSIVA DÓLAR;CFI-AEMDAE;"10270";"9";CL;CFI;;"1";NA;"0000";500000;PROM;;;1.07;"3";0;NA;535;PROM;CL;9.091;0;;1231
2023-01-31;"9561";COBERTURA GLOBAL;BNPDBC030223;"97029000";"1";CL;PDBC;2023-03-02;"1";NA;"0000";1400000000;$$;0.92;;;"1";30;RL;1398711;$$;CL;0;0.008;;1663
2023-01-31;"9561";COBERTURA GLOBAL;BNPDBC060223;"97029000";"1";CL;PDBC;2023-06-02;"1";NA;"0000";1000000000;$$;0.93;;;"1";30;RL;998137;$$;CL;0;0.006;;1187
2023-01-31;"9561";COBERTURA GLOBAL;CFIBEDBC-E;"9778";"0";CL;CFI;;"1";NA;"0000";1994565.98;$$;;;930.94;"3";0;NA;1856821;$$;CL;3.961;3.888;;2208
2023-01-31;"9561";COBERTURA GLOBAL;CFMBCHGHYB;"9859";"0";CL;CFM;;"1";NA;"0000";143330.28;$$;;;1065.72;"3";0;NA;152750;$$;CL;0.523;0.515;;182
2023-01-31;"9655";DEUDA INTERNACIONAL;CFMSECDCLS;"8940";"0";CL;CFM;;"1";BBB;"0000";2286.32;PROM;;;1283.72;"3";0;NA;2935;PROM;CL;5.414;5.373;;8306
2023-01-31;"9834";RENTA DINAMICA GLOBA;FNITA-250723;"97023000";"9";CL;DPC;2025-01-07;"1";N-1;"0076";15000000;$$;0.89;;;"1";30;NL;14261;$$;CL;0;0;;65
2023-01-31;"9834";RENTA DINAMICA GLOBA;BNPDBC010223;"97029000";"1";CL;PDBC;2023-01-02;"1";NA;"0000";225000000;$$;0.91;;;"1";30;NA;224932;$$;CL;0;0;;1029
2023-01-31;"9834";RENTA DINAMICA GLOBA;BNPDBC020223;"97029000";"1";CL;PDBC;2023-02-02;"1";NA;"0000";30000000;$$;0.91;;;"1";30;NA;29982;$$;CL;0;0;;137
2023-01-31;"9834";RENTA DINAMICA GLOBA;BNPDBC030223;"97029000";"1";CL;PDBC;2023-03-02;"1";NA;"0000";10000000;$$;0.92;;;"1";30;NA;9991;$$;CL;0;0;;46
2023-01-31;"9834";RENTA DINAMICA GLOBA;BNPDBC060223;"97029000";"1";CL;PDBC;2023-06-02;"1";NA;"0000";60000000;$$;0.93;;;"1";30;NA;59888;$$;CL;0;0;;274
2023-01-31;"9834";RENTA DINAMICA GLOBA;BNPDBC080223;"97029000";"1";CL;PDBC;2023-08-02;"1";NA;"0000";280000000;$$;0.92;;;"1";30;NA;279313;$$;CL;0;0;;1278
2023-01-31;"9834";RENTA DINAMICA GLOBA;BNPDBC220223;"97029000";"1";CL;PDBC;2024-10-02;"1";NA;"0000";95000000;$$;0.92;;;"1";30;NA;94363;$$;CL;0;0;;432
2023-02-28;"8172";CA DEFENSIVA DÓLAR;CFMLVMONEL;"8606";"1";CL;CFM;;"1";AA;"0000";1550873.18;PROM;;;1.05;"3";0;NA;1628;PROM;CL;0.608;0;;4249
2023-02-28;"8172";CA DEFENSIVA DÓLAR;CFI-LVDAIE;"9703";"9";CL;CFI;;"1";NA;"0000";278873.24;PROM;;;0.71;"3";0;NA;198;PROM;CL;0.54;0;;517
2023-02-28;"8172";CA DEFENSIVA DÓLAR;CFILVMXI-E;"9639";"3";CL;CFI;;"1";NA;"0000";474015.75;$$;;;1.27;"3";0;NA;602;$$;CL;1.113;0;;1571
2023-02-28;"8172";CA DEFENSIVA DÓLAR;CFI-LVEMDL;"9963";"5";CL;CFI;;"1";NA;"0000";20545;PROM;;;79.9;"3";0;NA;1642;PROM;CL;10.631;0;;4285
2023-02-28;"8172";CA DEFENSIVA DÓLAR;CFI-LVRULE;"10051";K;CL;CFI;;"1";NA;"0000";88149;PROM;;;10.8;"3";0;NA;952;PROM;CL;3.589;0;;2484
2023-02-28;"8172";CA DEFENSIVA DÓLAR;CFI-PRALLE;"10318";"7";CL;CFI;;"1";NA;"0000";90000;PROM;;;10.08;"3";0;NA;907;PROM;CL;6.365;0;;2367
2023-02-28;"8172";CA DEFENSIVA DÓLAR;CFI-AEMDAE;"10270";"9";CL;CFI;;"1";NA;"0000";499047.62;PROM;;;1.05;"3";0;NA;524;PROM;CL;9.091;0;;1367
2023-02-28;"8776";RENTA INTERNACIONAL;CFMSURRDCS;"8678";"9";CL;CFM;;"1";NA;"0000";558350.42;CU;;;1116.77;"3";0;RC;623549;$$;CL;0.875;0;;6089
2023-02-28;"9561";COBERTURA GLOBAL;BNPDBC100323;"97029000";"1";CL;PDBC;2023-10-03;"1";NA;"0000";500000000;$$;0.94;;;"1";30;RL;498442;$$;CL;0;0.003;;628
2023-02-28;"9561";COBERTURA GLOBAL;CFIBEDBC-E;"9778";"0";CL;CFI;;"1";NA;"0000";1606507.99;$$;;;912.71;"3";0;NA;1466276;$$;CL;3.484;3.306;;1847
2023-02-28;"9561";COBERTURA GLOBAL;CFMBCHGHYB;"9859";"0";CL;CFM;;"1";NA;"0000";143330.28;$$;;;1058.35;"3";0;NA;151694;$$;CL;0.566;0.545;;191
2023-02-28;"9655";DEUDA INTERNACIONAL;CFMSECDCLS;"8940";"0";CL;CFM;;"1";BBB;"0000";2286.32;PROM;;;1247.86;"3";0;NA;2853;PROM;CL;5.262;5.223;;831
2023-02-28;"9834";RENTA DINAMICA GLOBA;FNITA-250723;"97023000";"9";CL;DPC;2025-01-07;"1";N-1;"0076";15000000;$$;0.93;;;"1";30;NL;14347;$$;CL;0;0;;61
2023-02-28;"9834";RENTA DINAMICA GLOBA;BNPDBC170323;"97029000";"1";CL;PDBC;2024-05-03;"1";NA;"0000";20000000;$$;0.94;;;"1";30;NA;19894;$$;CL;0;0;;85
