"fecha";"Run Fondo";"serie";"periodo";"rent_acumulada"
2023-01-31;"8172";APV;"1M";-0.0603124570140112507352725444999197099735
2023-01-31;"8172";APV;"3M";-0.1414561666979558692939574260941288861707
2023-01-31;"8172";APV;"6M";-0.1126901601957253055166673834874149389791
2023-01-31;"8172";APV;"1Y";-0.0020487888179702583640694178258347683439
2023-01-31;"8172";APV;YTD;-0.0603124570140112507352725444999197099735
2023-02-01;"8172";APV;"1M";-0.0749348714033920881174357903903654923950
2023-02-01;"8172";APV;"3M";-0.1548159093014365453906418884498817251153
2023-02-01;"8172";APV;"6M";-0.1148243964457335897013071177184601607372
2023-02-01;"8172";APV;"1Y";-0.0146842011976933244310734274852627321832
2023-02-01;"8172";APV;YTD;-0.0749348714033920881174357903903654923950
2023-02-02;"8172";APV;"1M";-0.0870253666636537019131380134143524507424
2023-02-02;"8172";APV;"3M";-0.1671370334671625239335260217081081485726
2023-02-02;"8172";APV;"6M";-0.1303159455295464114443572340068909858035
2023-02-02;"8172";APV;"1Y";-0.0329131126306549859813074867650116545177
2023-02-02;"8172";APV;YTD;-0.0870253666636537019131380134143524507424
2023-02-03;"8172";APV;"1M";-0.0743735397710210945737212940578712244399
2023-02-03;"8172";APV;"3M";-0.1689616701785487727418869944298199667641
2023-02-03;"8172";APV;"6M";-0.1323564782996783809457087248027136982593
2023-02-03;"8172";APV;"1Y";-0.0373122908733891825414341095426048284158
2023-02-03;"8172";APV;YTD;-0.0783962435115429178646628310511937858025
2023-02-04;"8172";APV;"1M";-0.0775902790675966291939406771312845811955
2023-02-04;"8172";APV;"3M";-0.1543937252237724458889057303433148469197
2023-02-04;"8172";APV;"6M";-0.1285934137436951929152217271449930411867
2023-02-04;"8172";APV;"1Y";-0.0469555200711960684607561472133797312052
2023-02-04;"8172";APV;YTD;-0.0783962435115429178646628310511937858025
2023-02-05;"8172";APV;"1M";-0.0788969314573364177231063548509526384698
2023-02-05;"8172";APV;"3M";-0.1543937252237724458889057303433148469197
2023-02-05;"8172";APV;"6M";-0.1386726336414153200675394066728285548946
2023-02-05;"8172";APV;"1Y";-0.0469555200711960684607561472133797312052
2023-02-05;"8172";APV;YTD;-0.0783962435115429178646628310511937858025
2023-02-06;"8172";APV;"1M";-0.0493583255366556780146687850270769034211
2023-02-06;"8172";APV;"3M";-0.1374233681438215079482718220917995259951
2023-02-06;"8172";APV;"6M";-0.1213867721171415055667268128960489141825
